Tm,#Rank,score,oppo_score
NE,1,437,252
DAL,2,421,306
KC,3,371,311
OAK,4,416,385
PIT,5,397,327
NYG,6,310,282
ATL,7,540,406
SEA,8,358,284
MIA,9,351,380
GB,10,432,388
HOU,11,271,328
TEN,12,383,376
DEN,13,333,295
DET,14,330,360
TB,15,356,365
WAS,16,390,383
BAL,17,347,317
IND,18,405,390
MIN,19,309,307
ARI,20,416,364
BUF,21,401,376
PHI,22,353,331
NO,23,467,456
CIN,24,323,317
CAR,25,369,402
NYJ,26,269,415
SD,27,408,423
LA,28,224,394
CHI,29,273,399
JAX,30,312,398
SF,31,307,480
CLE,32,264,448